onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
0.5338	1.0509	AB	A	Correct	1.045	2.3353	0.517	-1	-0.5	0.5	0.5	12	4.5775	0.0694	3e-04
4.5537	0.9508	BA	B	Incorrect	0.936	6.2551	0.5171	-1	-0.5	0.5	0.4999	12	4.5775	0.0694	3e-04
11.476	0.7339	FE	F	Incorrect	0.724	12.9605	0.5171	-1	-0.5	0.5	0.5	56	4.5775	0.0694	3e-04
16.9971	0.9841	CD	D	Incorrect	0.97	18.7318	0.5171	1	0.5	0.5	0.5	34	4.5775	0.0694	3e-04
21.017	1.0342	BA	B	Incorrect	1.017	22.8018	0.517	-1	-0.4999	0.4999	0.4999	12	4.5775	0.0694	3e-04
25.0369	0.9508	FE	E	Correct	0.936	26.7383	0.5171	1	0.5	0.5	0.4999	56	4.5775	0.0694	3e-04
35.3118	0.734	FE	F	Incorrect	0.725	36.7964	0.5171	-1	-0.4999	0.4999	0.5347	56	4.5775	0.0694	3e-04
40.833	0.8173	DC	D	Incorrect	0.809	42.4009	0.5171	-1	-0.5347	0.5347	0.5	34	4.5775	0.0694	3e-04
51.7418	0.9174	BA	B	Incorrect	0.905	53.4098	0.5171	-1	-0.4997	0.4997	0.4999	12	4.5775	0.0694	3e-04
55.2779	0.9008	AB	A	Correct	0.885	56.9293	0.5171	1	0.5001	0.4999	0.4996	12	4.5775	0.0694	3e-04
59.7983	1.0842	EF	E	Correct	1.068	61.6331	0.5171	1	0.4653	0.5347	0.4997	56	4.5775	0.0694	3e-04
63.8182	1.1009	CD	D	Incorrect	1.092	65.6697	0.517	-1	-0.5346	0.5346	0.5	34	4.5775	0.0694	3e-04
72.3417	0.9007	BA	B	Incorrect	0.898	73.993	0.5171	-1	-0.4996	0.4996	0.5346	12	4.5775	0.0694	3e-04
75.3775	1.1176	EF	E	Correct	1.11	77.2457	0.517	1	0.433	0.567	0.4997	56	4.5775	0.0694	3e-04
84.8685	1.1175	AB	A	Correct	1.102	86.7366	0.5171	-1	-0.5346	0.5346	0.4995	12	4.5775	0.0694	3e-04
88.8884	1.1843	BA	A	Correct	1.171	90.8233	0.5171	1	0.4655	0.5345	0.4995	12	4.5775	0.0694	3e-04
92.4079	0.9674	FE	E	Correct	0.965	94.1259	0.5171	1	0.4029	0.5971	0.4997	56	4.5775	0.0694	3e-04
96.4278	0.9508	CD	C	Correct	0.938	98.1292	0.517	1	0.5	0.5	0.5344	34	4.5775	0.0694	3e-04
101.4485	1.0175	BA	B	Incorrect	1.006	103.2166	0.5171	-1	-0.4995	0.4995	0.5668	12	4.5775	0.0694	3e-04
104.4676	0.9841	AB	A	Correct	0.973	106.2023	0.5171	1	0.4332	0.5668	0.4994	12	4.5775	0.0694	3e-04
113.4915	1.1677	DC	D	Incorrect	1.161	115.4098	0.517	-1	-0.5344	0.5344	0.5347	34	4.5775	0.0694	3e-04
117.5115	1.0341	BA	A	Correct	1.017	119.2962	0.5171	1	0.4031	0.5969	0.4994	12	4.5775	0.0694	3e-04
120.0468	0.9508	FE	E	Correct	0.945	121.7482	0.5171	-1	-0.625	0.625	0.4997	56	4.5775	0.0694	3e-04
124.5671	1.1176	DC	D	Incorrect	1.101	126.4353	0.5171	-1	-0.5343	0.5343	0.5347	34	4.5775	0.0694	3e-04
128.5871	1.1342	AB	A	Correct	1.125	130.4719	0.5171	1	0.3752	0.6248	0.4994	12	4.5775	0.0694	3e-04
132.607	0.884	EF	E	Correct	0.878	134.2416	0.5171	1	0.3751	0.6249	0.4997	56	4.5775	0.0694	3e-04
137.6277	1.1175	AB	B	Incorrect	1.114	139.4958	0.5171	-1	-0.4994	0.4994	0.6509	12	4.5775	0.0694	3e-04
140.6468	1.0175	FE	E	Correct	0.999	142.3982	0.5171	1	0.3491	0.6509	0.4997	56	4.5775	0.0694	3e-04
144.6834	1.0675	CD	D	Incorrect	1.059	146.5015	0.5171	-1	-0.5342	0.5342	0.5347	34	4.5775	0.0694	3e-04
149.7041	1.1843	CD	C	Correct	1.168	151.639	0.5171	1	0.4653	0.5347	0.534	34	4.5775	0.0694	3e-04
153.724	0.9508	FE	E	Correct	0.943	155.4254	0.517	1	0.3248	0.6752	0.4997	56	4.5775	0.0694	3e-04
162.1141	1.0008	AB	A	Correct	0.997	163.8655	0.5171	1	0.3491	0.6509	0.4992	12	4.5775	0.0694	3e-04
166.134	0.884	FE	E	Correct	0.867	167.7686	0.5171	1	0.3023	0.6977	0.4997	56	4.5775	0.0694	3e-04
170.1539	0.9508	DC	C	Correct	0.944	171.8553	0.5171	-1	-0.567	0.567	0.534	34	4.5775	0.0694	3e-04
174.6742	0.9007	EF	E	Correct	0.885	176.3255	0.5171	1	0.2813	0.7187	0.4997	56	4.5775	0.0694	3e-04
177.2096	1.0508	CD	C	Correct	1.045	179.011	0.5171	1	0.4331	0.5669	0.534	34	4.5775	0.0694	3e-04
182.2303	0.9341	CD	C	Correct	0.923	183.915	0.5171	-1	-0.5969	0.5969	0.534	34	4.5775	0.0694	3e-04
185.7498	1.1009	EF	E	Correct	1.088	187.6013	0.5171	1	0.2618	0.7382	0.4997	56	4.5775	0.0694	3e-04
194.0231	0.8341	EF	E	Correct	0.818	195.6078	0.517	1	0.2436	0.7564	0.4997	56	4.5775	0.0694	3e-04
197.0589	1.1176	DC	D	Incorrect	1.113	198.9271	0.5171	-1	-0.534	0.534	0.5968	34	4.5775	0.0694	3e-04
201.0955	0.8173	EF	E	Correct	0.814	202.6634	0.5171	-1	-0.7733	0.7733	0.4997	56	4.5775	0.0694	3e-04
206.6166	0.8674	CD	C	Correct	0.853	208.2346	0.5171	1	0.4032	0.5968	0.5339	34	4.5775	0.0694	3e-04
