onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
1.0339	1.4511	Ef	inCorrect	1.435	wl.l	0.633	0.6963	-0.0633	20	4.505	0.017	0
4.0699	0.8506	eC	Correct	0.844	ww	0.7612	0.6963	0.0649	10	4.505	0.017	0
8.5899	1.3678	dA	Correct	1.356	wl.u	0.8278	0.5932	0.2346	50	4.505	0.017	0
12.1259	0.9174	Db	Correct	0.915	ll	0.5932	0.5332	0.06	10	4.505	0.017	0
16.6459	0.6172	Fd	Correct	0.612	ll	0.633	0.5932	0.0398	10	4.505	0.017	0
21.1669	0.5504	fA	Correct	0.536	wl.u	0.8278	0.633	0.1948	40	4.505	0.017	0
24.6859	0.6172	dF	Correct	0.609	ll	0.633	0.5932	0.0398	10	4.505	0.017	0
28.7059	0.6339	bF	Correct	0.628	ll	0.633	0.5332	0.0998	20	4.505	0.017	0
33.2269	1.2176	Fb	Correct	1.2	ll	0.633	0.5332	0.0998	20	4.505	0.017	0
41.2499	1.0175	Cd	Correct	1.002	wl.l	0.7612	0.5932	0.168	40	4.505	0.017	0
44.2859	1.8015	bF	inCorrect	1.793	ll	0.5332	0.633	-0.0998	20	4.505	0.017	0
49.3059	1.201	Ce	inCorrect	1.198	ww	0.6963	0.7612	-0.0649	10	4.505	0.017	0
52.3419	1.8849	Ab	Correct	1.883	wl.l	0.8278	0.5332	0.2946	60	4.505	0.017	0
56.8459	1.2511	bD	inCorrect	1.235	ll	0.5332	0.5932	-0.06	10	4.505	0.017	0
60.8659	0.884	Eb	Correct	0.876	wl.u	0.6963	0.5332	0.1631	40	4.505	0.017	0
65.3859	0.5838	Ed	Correct	0.58	wl.u	0.6963	0.5932	0.1031	30	4.505	0.017	0
68.4219	0.9007	Fd	Correct	0.891	ll	0.633	0.5932	0.0398	10	4.505	0.017	0
72.4579	1.0342	cA	Correct	1.028	ww	0.8278	0.7612	0.0666	10	4.505	0.017	0
76.4949	1.0509	Ae	Correct	1.047	ww	0.8278	0.6963	0.1315	20	4.505	0.017	0
80.5319	0.6506	eA	Correct	0.643	ww	0.8278	0.6963	0.1315	20	4.505	0.017	0
